Meter_Id,Date,Region_Code,Dwelling_Type,Num_Occupants,House_Area (sqft),Appliance_Score,Connected_Load(kw),Temperature_C,Humidity (%),Expected_Energy(kwh),Actual_Energy(kwh),Usage_Deviation(%),Cluster_Avg_Energy(kwh),Abnormal_Usage
IN-KL-ELC-45560016,29-01-2023,IN_KL_ERN,Apartment,5,2466,15,2.99,30.6,63.08,null,16.32 kWh,-0.12,16.61,0
IN-KL-ELC-70933352,22-01-2023,IN_KL_ALP,Independent House,3,765,11,5.43,23.66,51,13.05 kWh,12.03 kWh,-7.82,17.83,1
IN-KL-ELC-18259127,19-01-2023,IN_KL_ALP,Apartment,4,1173,10,5.58,29.54,61.56,15.18 kWh,19.691295658659826 kWh,29.72,16.47,1
IN-KL-ELC-36789255,27-01-2023,IN_KL_ERN,Independent House,1,1818,15,3.9,28.9,46.75,12.27 kWh,12.73 kWh,3.75,16.43,0
IN-KL-ELC-54818514,05-01-2023,IN_KL_TVM,Apartment,4,2273,8,4.16,24.91,74.3,12.49 kWh,19.104690518227628 kWh,52.96,17.26,1
IN-KL-ELC-98421014,13-01-2023,IN_KL_TVM,Independent House,5,2082,8,5.51,23.49,82.48,14.11 kWh,14.02 kWh,-0.64,16.89,0
IN-KL-ELC-11824099,02-01-2023,IN_KL_TVM,Independent House,1,964,13,7.41,32.49,46.32,14.95 kWh,14.47 kWh,-3.21,16.89,0
IN-KL-ELC-36393561,09-01-2023,IN_KL_ERN,Apartment,3,908,6,5.67,30.17,58.82,12.89 kWh,12.32 kWh,-4.42,16.61,0
IN-KL-ELC-61981697,26-01-2023,IN_KL_ERN,Independent House,4,905,14,4.55,30.88,77.73,16.12 kWh,31.043955938793477 kWh,92.58,16.43,1
IN-KL-ELC-19889775,18-01-2023,IN_KL_ERN,Apartment,1,1963,10,7.11,28.38,54.6,12.81 kWh,12.22 kWh,-4.61,16.61,0
IN-KL-ELC-91823655,06-01-2023,IN_KL_TVM,Apartment,5,1876,20,7.29,28.09,80.19,20.56 kWh,19.88 kWh,-3.31,17.26,0
IN-KL-ELC-61949394,21-01-2023,IN_KL_ERN,Independent House,2,1004,14,5.67,33.36,66.06,null,14.11 kWh,-7.72,16.43,0
IN-KL-ELC-46370776,06-01-2023,IN_KL_ERN,Apartment,4,2294,9,5.65,31.83,79.49,15.4 kWh,16.77 kWh,8.9,16.61,0
IN-KL-ELC-13476673,18-01-2023,IN_KL_TVM,Independent House,4,753,17,6.92,25.08,77.39,null,17.07 kWh,-1.67,16.89,0
IN-KL-ELC-85879717,23-01-2023,IN_KL_ALP,Apartment,1,2619,15,5.08,23.25,72.15,12.01 kWh,17.07074387474067 kWh,42.14,16.47,1
IN-KL-ELC-93121901,08-01-2023,IN_KL_ERN,Villa,6,1367,7,5.36,30.67,62.67,16.43 kWh,17.56 kWh,6.88,16.28,0
IN-KL-ELC-85209853,27-01-2023,IN_KL_ALP,Independent House,2,1630,15,5.71,28.79,56.88,14.66 kWh,14.08 kWh,-3.96,17.83,0
IN-KL-ELC-36393561,12-01-2023,IN_KL_ERN,Apartment,3,908,6,5.67,30.05,79.21,12.86 kWh,11.01 kWh,-14.39,16.61,1
IN-KL-ELC-75763311,19-01-2023,IN_KL_TVM,Villa,2,2736,10,7.84,29.25,77.83,null,22.038108851409778 kWh,50.84,16.02,1
IN-KL-ELC-76726031,09-01-2023,IN_KL_ERN,Independent House,2,849,9,7.27,33,66.66,14.63 kWh,15.29 kWh,4.51,16.43,0
IN-KL-ELC-53303907,21-01-2023,IN_KL_TVM,Apartment,2,1690,20,3.99,34.02,45.15,null,17.49 kWh,7.17,17.26,0
IN-KL-ELC-87073868,22-01-2023,IN_KL_TVM,Apartment,6,2717,6,7.52,36.35,81.04,null,18.65 kWh,-2.92,17.26,0
IN-KL-ELC-67499236,27-01-2023,IN_KL_ERN,Apartment,2,2184,10,6.07,27.04,57.58,12.85 kWh,15.26 kWh,18.75,16.61,1
IN-KL-ELC-17499006,29-01-2023,IN_KL_TVM,Apartment,3,2424,16,5.47,28.63,47.8,null,27.56805127019304 kWh,73.71,17.26,1
IN-KL-ELC-60884000,18-01-2023,IN_KL_ERN,Villa,2,2588,18,4.43,28.43,58.12,14.67 kWh,26.71943942344857 kWh,82.14,16.28,1
IN-KL-ELC-60604864,25-01-2023,IN_KL_ERN,Villa,4,2704,21,2.64,25.58,83.41,15.81 kWh,16.71 kWh,5.69,16.28,0
IN-KL-ELC-99631077,26-01-2023,IN_KL_ALP,Apartment,4,1597,14,7.89,33.8,65.87,19.47 kWh,18.75 kWh,-3.7,16.47,0
IN-KL-ELC-97553105,02-01-2023,IN_KL_TVM,Independent House,6,2605,13,3.52,33.49,71.04,17.88 kWh,18.08 kWh,1.12,16.89,0
IN-KL-ELC-53791402,30-01-2023,IN_KL_TVM,Apartment,3,1634,10,6.35,33,79.41,15.43 kWh,16.31 kWh,5.7,17.26,0
IN-KL-ELC-77021273,29-01-2023,IN_KL_TVM,Independent House,2,2377,14,7.63,34.04,73.07,null,15.81 kWh,-6.95,16.89,0
IN-KL-ELC-56776126,16-01-2023,IN_KL_ALP,Apartment,3,1435,18,4.74,27.42,57.38,15.72 kWh,27.853803489089483 kWh,77.19,16.47,1
IN-KL-ELC-66925143,22-01-2023,IN_KL_TVM,Independent House,6,2681,7,7.13,32.06,75.41,18.14 kWh,18.35 kWh,1.16,16.89,0
IN-KL-ELC-68653537,14-01-2023,IN_KL_ALP,Villa,4,589,19,4.61,29,79.8,17.44 kWh,17.75 kWh,1.78,16.26,0
IN-KL-ELC-96990855,27-01-2023,IN_KL_ALP,Villa,5,1908,19,4.49,28.37,64.26,18.26 kWh,16.72 kWh,-8.43,16.26,0
IN-KL-ELC-45560016,07-01-2023,IN_KL_ERN,Apartment,5,2466,15,2.99,34.76,84.93,17.35 kWh,27.891560284002573 kWh,60.76,16.61,1
IN-KL-ELC-39037024,27-01-2023,IN_KL_TVM,Villa,2,2065,18,3.32,30.22,61.5,14.24 kWh,12.72 kWh,-10.67,16.02,0
IN-KL-ELC-34382899,10-01-2023,IN_KL_ERN,Apartment,6,2268,16,6.07,35.15,68.31,21.49 kWh,30.23331099081194 kWh,40.69,16.61,1
IN-KL-ELC-12730697,15-01-2023,IN_KL_ALP,Independent House,4,760,8,4.75,33.91,60.08,14.78 kWh,14.27 kWh,-3.45,17.83,0
IN-KL-ELC-50138855,10-01-2023,IN_KL_ALP,Apartment,2,1651,7,6.12,25.55,52.89,11.61 kWh,12.6 kWh,8.53,16.47,0
IN-KL-ELC-76472409,10-01-2023,IN_KL_TVM,Villa,1,788,12,3.63,38.81,48.45,12.71 kWh,19.006447001061648 kWh,49.54,16.02,1
IN-KL-ELC-38900154,22-01-2023,IN_KL_ALP,Independent House,5,1678,20,3.89,27.34,65.18,17.87 kWh,18.43 kWh,3.13,17.83,0
IN-KL-ELC-77037468,24-01-2023,IN_KL_ALP,Villa,1,1609,21,7.4,33.11,52.29,18.0 kWh,35.49154350484238 kWh,97.18,16.26,1
IN-KL-ELC-37411538,25-01-2023,IN_KL_TVM,Apartment,3,1837,6,7.27,33.06,46.16,14.7 kWh,14.26 kWh,-2.99,17.26,0
IN-KL-ELC-79615917,18-01-2023,IN_KL_ALP,Independent House,6,612,8,6.32,22.24,48.37,15.32 kWh,15.4 kWh,0.52,17.83,0
IN-KL-ELC-43144683,01-01-2023,IN_KL_ERN,Independent House,6,572,15,7.41,18.36,61.44,17.01 kWh,23.195853884647008 kWh,36.37,16.43,1
IN-KL-ELC-77157976,16-01-2023,IN_KL_ALP,Villa,1,796,13,6.45,34.91,84.41,14.69 kWh,22.08352989278257 kWh,50.33,16.26,1
IN-KL-ELC-98421014,08-01-2023,IN_KL_TVM,Independent House,5,2082,8,5.51,34.46,74.37,16.68 kWh,15.48 kWh,-7.19,16.89,0
IN-KL-ELC-22347643,22-01-2023,IN_KL_ALP,Apartment,1,2453,15,6.78,29.15,77.02,14.45 kWh,null,6.09,16.47,1
IN-KL-ELC-66129276,21-01-2023,IN_KL_ALP,Apartment,3,2673,21,6.26,35.45,75.47,20.06 kWh,20.38 kWh,1.6,16.47,0
IN-KL-ELC-69243360,30-01-2023,IN_KL_ERN,Villa,2,2649,7,3.85,29.69,74.32,10.69 kWh,10.13 kWh,-5.24,16.28,1
IN-KL-ELC-13476673,28-01-2023,IN_KL_TVM,Independent House,4,753,17,6.92,32.57,79.97,19.46 kWh,26.974414090410598 kWh,38.61,16.89,1
IN-KL-ELC-94272884,12-01-2023,IN_KL_ALP,Apartment,1,896,21,5.61,33.3,53.5,16.64 kWh,16.9 kWh,1.56,16.47,0
IN-KL-ELC-46470083,09-01-2023,IN_KL_TVM,Independent House,2,2202,12,3.44,19.84,69.17,10.32 kWh,13.67 kWh,32.46,16.89,1
IN-KL-ELC-72588770,26-01-2023,IN_KL_ALP,Independent House,6,460,7,5.2,25.14,80.19,14.97 kWh,null,3.47,17.83,1
IN-KL-ELC-92687993,09-01-2023,IN_KL_ALP,Apartment,3,1273,16,6.04,30.65,80.14,16.79 kWh,16.64 kWh,-0.89,16.47,0
IN-KL-ELC-93680367,18-01-2023,IN_KL_TVM,Villa,6,962,6,5.24,27.79,56.94,15.31 kWh,25.134912266479414 kWh,64.17,16.02,1
IN-KL-ELC-39118096,15-01-2023,IN_KL_ERN,Apartment,3,1256,8,5.18,27.9,62.49,12.77 kWh,12.67 kWh,-0.78,16.61,0
IN-KL-ELC-69251424,09-01-2023,IN_KL_ALP,Apartment,5,1037,16,4.19,25.25,50.62,16.2 kWh,16.93 kWh,4.51,16.47,0
IN-KL-ELC-61700190,27-01-2023,IN_KL_TVM,Independent House,1,1371,8,5.28,26.95,53.79,10.55 kWh,17.634679540451085 kWh,67.15,16.89,1
IN-KL-ELC-57261281,06-01-2023,IN_KL_ALP,Apartment,1,1776,14,3.77,33.77,67.94,12.71 kWh,null,27.19,16.47,1
IN-KL-ELC-82157282,06-01-2023,IN_KL_TVM,Independent House,5,986,17,5.66,27.15,57.22,18.09 kWh,25.80308957914138 kWh,42.64,16.89,1
IN-KL-ELC-61700190,21-01-2023,IN_KL_TVM,Independent House,1,1371,8,5.28,35.37,54.44,11.95 kWh,12.33 kWh,3.18,16.89,0
IN-KL-ELC-18259127,14-01-2023,IN_KL_ALP,Apartment,4,1173,10,5.58,30.75,55.19,15.46 kWh,14.64 kWh,-5.3,16.47,0
IN-KL-ELC-77021273,27-01-2023,IN_KL_TVM,Independent House,2,2377,14,7.63,39.31,68.58,18.26 kWh,20.06 kWh,9.86,16.89,0
IN-KL-ELC-25533692,24-01-2023,IN_KL_ALP,Apartment,3,2301,8,3.92,31.26,67.22,12.47 kWh,null,1.12,16.47,1
IN-KL-ELC-11824099,06-01-2023,IN_KL_TVM,Independent House,1,964,13,7.41,31.12,49.63,14.65 kWh,14.19 kWh,-3.14,16.89,0
IN-KL-ELC-34382899,29-01-2023,IN_KL_ERN,Apartment,6,2268,16,6.07,24.31,80.36,18.25 kWh,26.595153777479904 kWh,45.73,16.61,1
IN-KL-ELC-39624628,28-01-2023,IN_KL_TVM,Independent House,2,1836,13,4.2,38.43,57.21,14.76 kWh,12.41 kWh,-15.92,16.89,0
IN-KL-ELC-95384842,19-01-2023,IN_KL_TVM,Independent House,3,992,13,7.19,30.48,45.45,16.56 kWh,16.42 kWh,-0.85,16.89,0
IN-KL-ELC-86809558,02-01-2023,IN_KL_TVM,Apartment,5,2278,17,6.08,31,45.11,19.5 kWh,20.64 kWh,5.85,17.26,0
IN-KL-ELC-92687993,22-01-2023,IN_KL_ALP,Apartment,3,1273,16,6.04,29.19,71.16,16.43 kWh,16.29 kWh,-0.85,16.47,0
IN-KL-ELC-25353404,20-01-2023,IN_KL_TVM,Independent House,1,922,12,5.88,29.63,65.27,null,12.14 kWh,-5.45,16.89,0
IN-KL-ELC-44100893,07-01-2023,IN_KL_ERN,Villa,2,889,6,2.98,28.99,84.14,9.59 kWh,null,-2.71,16.28,1
IN-KL-ELC-54025412,01-01-2023,IN_KL_TVM,Villa,4,2792,10,6.83,25.78,76.05,15.2 kWh,15.44 kWh,1.58,16.02,0
IN-KL-ELC-52691692,22-01-2023,IN_KL_ERN,Villa,2,1018,10,3.4,29.09,55.35,11.29 kWh,17.07406709484886 kWh,51.23,16.28,1
IN-KL-ELC-59350609,15-01-2023,IN_KL_ERN,Apartment,2,2188,20,4.97,22.39,78.83,14.29 kWh,14.25 kWh,-0.28,16.61,0
IN-KL-ELC-44179469,07-01-2023,IN_KL_ERN,Apartment,1,716,21,7.5,26.15,52.77,16.28 kWh,31.935420494482347 kWh,96.16,16.61,1
IN-KL-ELC-73630255,14-01-2023,IN_KL_ALP,Villa,1,1963,6,3.38,25.23,77.89,8.3 kWh,9.42 kWh,13.49,16.26,1
IN-KL-ELC-42432840,14-01-2023,IN_KL_ERN,Independent House,6,588,11,2.94,29.31,64.73,15.69 kWh,15.29 kWh,-2.55,16.43,0
IN-KL-ELC-22581767,06-01-2023,IN_KL_ALP,Independent House,5,665,11,3.83,29.41,62.83,15.29 kWh,15.76 kWh,3.07,17.83,0
IN-KL-ELC-73727430,25-01-2023,IN_KL_ALP,Independent House,3,2307,18,5.22,32.35,81.79,null,16.52 kWh,-4.56,17.83,0
IN-KL-ELC-93959968,28-01-2023,IN_KL_TVM,Independent House,6,2044,21,3.7,24.31,60.93,18.23 kWh,18.74 kWh,2.8,16.89,0
IN-KL-ELC-51118982,19-01-2023,IN_KL_ALP,Independent House,5,2365,21,5.35,29.49,49.94,19.91 kWh,28.375512881983248 kWh,42.52,17.83,1
IN-KL-ELC-69047090,07-01-2023,IN_KL_TVM,Independent House,1,2276,6,2.95,31.95,76.66,8.86 kWh,9.11 kWh,2.82,16.89,1
IN-KL-ELC-49701826,19-01-2023,IN_KL_ALP,Independent House,6,2722,8,3.13,29.28,74.4,14.79 kWh,23.861181069252975 kWh,61.33,17.83,1
IN-KL-ELC-15833790,23-01-2023,IN_KL_TVM,Independent House,4,2209,11,4.97,32.39,55.3,15.72 kWh,17.5 kWh,11.32,16.89,0
IN-KL-ELC-96616497,28-01-2023,IN_KL_ERN,Apartment,2,2478,8,3.98,29.96,71.11,11.18 kWh,12.25 kWh,9.57,16.61,0
IN-KL-ELC-96449063,11-01-2023,IN_KL_TVM,Apartment,6,1218,20,5.2,20.63,80.35,17.79 kWh,18.67 kWh,4.95,17.26,0
IN-KL-ELC-36527734,15-01-2023,IN_KL_ALP,Apartment,1,769,16,3.76,36.91,65.67,14.04 kWh,15.91 kWh,13.32,16.47,0
IN-KL-ELC-11063908,17-01-2023,IN_KL_ALP,Apartment,4,1364,9,7.04,30.61,54.22,16.18 kWh,20.551415455916583 kWh,27.02,16.47,1
IN-KL-ELC-61826522,30-01-2023,IN_KL_ALP,Independent House,1,1393,21,6.7,31.48,75.32,17.05 kWh,16.51 kWh,-3.17,17.83,0
IN-KL-ELC-82157282,12-01-2023,IN_KL_TVM,Independent House,5,986,17,5.66,30.31,79.1,18.98 kWh,16.57 kWh,-12.7,16.89,0
IN-KL-ELC-13631731,30-01-2023,IN_KL_ALP,Apartment,3,1207,9,3.03,30.76,68.42,12.06 kWh,10.68 kWh,-11.44,16.47,1
IN-KL-ELC-54818514,04-01-2023,IN_KL_TVM,Apartment,4,2273,8,4.16,24.59,46.24,12.42 kWh,10.48 kWh,-15.62,17.26,1
IN-KL-ELC-97553105,08-01-2023,IN_KL_TVM,Independent House,6,2605,13,3.52,30.89,50.11,17.22 kWh,18.91 kWh,9.81,16.89,0
IN-KL-ELC-28357262,25-01-2023,IN_KL_ERN,Independent House,4,821,17,6.91,30.56,74.65,18.89 kWh,25.274078641874635 kWh,33.8,16.43,1
IN-KL-ELC-22347643,02-01-2023,IN_KL_ALP,Apartment,1,2453,15,6.78,31.41,78.87,14.95 kWh,13.83 kWh,-7.49,16.47,0
IN-KL-ELC-17499006,02-01-2023,IN_KL_TVM,Apartment,3,2424,16,5.47,31.33,75.03,16.53 kWh,15.1 kWh,-8.65,17.26,0
IN-KL-ELC-76999375,13-01-2023,IN_KL_ERN,Villa,2,574,16,4.06,32.44,73.28,14.56 kWh,24.362123584707362 kWh,67.32,16.28,1
IN-KL-ELC-97733707,21-01-2023,IN_KL_ALP,Apartment,3,2652,20,5.31,40.35,57.37,20.2 kWh,19.19 kWh,-5,16.47,0
IN-KL-ELC-26636457,29-01-2023,IN_KL_ALP,Independent House,6,1031,21,3.02,27.3,55.47,18.63 kWh,29.235118902462734 kWh,56.92,17.83,1
IN-KL-ELC-55367153,22-01-2023,IN_KL_TVM,Independent House,1,490,12,6.27,29.24,45.1,13.05 kWh,16.15 kWh,23.75,16.89,1
IN-KL-ELC-68639880,19-01-2023,IN_KL_TVM,Independent House,4,1871,17,6.97,31.34,64.97,19.15 kWh,34.46022090806258 kWh,79.95,16.89,1
IN-KL-ELC-73453717,25-01-2023,IN_KL_ALP,Villa,6,694,19,6.97,23.55,56.92,19.58 kWh,20.65 kWh,5.46,16.26,0
IN-KL-ELC-86007090,08-01-2023,IN_KL_ERN,Villa,3,1437,13,6.88,23.57,72.18,14.65 kWh,13.81 kWh,-5.73,16.28,0
IN-KL-ELC-98421014,04-01-2023,IN_KL_TVM,Independent House,5,2082,8,5.51,26.26,65.07,14.76 kWh,null,33.23,16.89,1
IN-KL-ELC-27773185,02-01-2023,IN_KL_ALP,Apartment,6,2752,17,5.14,27.89,84.85,18.98 kWh,19.54 kWh,2.95,16.47,0
IN-KL-ELC-12266547,29-01-2023,IN_KL_ERN,Apartment,6,840,13,6.13,27.29,48.97,18.18 kWh,19.7 kWh,8.36,16.61,0
IN-KL-ELC-97994143,03-01-2023,IN_KL_ERN,Apartment,1,1263,9,3.24,32.75,50.45,10.29 kWh,8.82 kWh,-14.29,16.61,1
IN-KL-ELC-70260372,12-01-2023,IN_KL_ERN,Independent House,5,1054,8,4.03,28.42,61.73,14.18 kWh,12.54 kWh,-11.57,16.43,0
IN-KL-ELC-96990855,01-01-2023,IN_KL_ALP,Villa,5,1908,19,4.49,22.54,60.38,16.62 kWh,17.42 kWh,4.81,16.26,0
IN-KL-ELC-68820657,06-01-2023,IN_KL_ERN,Independent House,4,833,6,4.72,29.75,53.22,13.19 kWh,13.54 kWh,2.65,16.43,0
IN-KL-ELC-28743962,02-01-2023,IN_KL_ERN,Independent House,6,1543,15,5.27,32.57,56.82,19.74 kWh,33.72984364006311 kWh,70.87,16.43,1
IN-KL-ELC-42959637,12-01-2023,IN_KL_TVM,Independent House,4,2052,8,7.5,21.68,45.04,14.02 kWh,18.839986567774538 kWh,34.38,16.89,1
IN-KL-ELC-60884000,06-01-2023,IN_KL_ERN,Villa,2,2588,18,4.43,24.54,56.55,13.79 kWh,19.819906323159824 kWh,43.73,16.28,1
IN-KL-ELC-61949394,25-01-2023,IN_KL_ERN,Independent House,2,1004,14,5.67,31.7,72.38,14.92 kWh,14.54 kWh,-2.55,16.43,0
IN-KL-ELC-86684493,07-01-2023,IN_KL_ALP,Independent House,5,2781,14,3.77,37.71,48.92,18.33 kWh,17.36 kWh,-5.29,17.83,0
IN-KL-ELC-54025412,29-01-2023,IN_KL_TVM,Villa,4,2792,10,6.83,21.48,69.01,null,14.18 kWh,0.21,16.02,0
IN-KL-ELC-80163233,19-01-2023,IN_KL_ALP,Independent House,1,494,11,7.08,31.61,52.02,13.79 kWh,13.76 kWh,-0.22,17.83,0
IN-KL-ELC-27671813,16-01-2023,IN_KL_TVM,Independent House,1,2623,6,3.37,29.51,61.76,8.86 kWh,9.0 kWh,1.58,16.89,1
IN-KL-ELC-39971016,12-01-2023,IN_KL_ERN,Independent House,6,617,8,5.6,29.38,59.12,16.64 kWh,17.95 kWh,7.87,16.43,0
IN-KL-ELC-25737030,02-01-2023,IN_KL_ERN,Independent House,4,2725,11,3.75,33.84,77.74,15.08 kWh,24.448752344965598 kWh,62.13,16.43,1
IN-KL-ELC-89650018,19-01-2023,IN_KL_TVM,Independent House,4,528,16,7.35,33.15,45.59,19.6 kWh,20.31 kWh,3.62,16.89,0
IN-KL-ELC-31690538,12-01-2023,IN_KL_TVM,Apartment,4,1785,20,7.86,34.93,48.73,22.01 kWh,21.27 kWh,-3.36,17.26,0
IN-KL-ELC-96990855,24-01-2023,IN_KL_ALP,Villa,5,1908,19,4.49,29.53,65.31,18.59 kWh,31.00272118462647 kWh,66.77,16.26,1
IN-KL-ELC-28177529,24-01-2023,IN_KL_TVM,Independent House,4,2653,11,3.3,26.89,73.75,13.28 kWh,12.9 kWh,-2.86,16.89,0
IN-KL-ELC-19889775,26-01-2023,IN_KL_ERN,Apartment,1,1963,10,7.11,21.74,52.58,11.51 kWh,17.987109275433028 kWh,56.27,16.61,1
IN-KL-ELC-85879717,19-01-2023,IN_KL_ALP,Apartment,1,2619,15,5.08,34.32,64.92,14.23 kWh,null,-2.53,16.47,1
IN-KL-ELC-25533692,19-01-2023,IN_KL_ALP,Apartment,3,2301,8,3.92,32.01,45.74,12.61 kWh,13.4 kWh,6.26,16.47,0
IN-KL-ELC-67819755,05-01-2023,IN_KL_ERN,Villa,5,2073,12,4.88,24.79,79.89,15.27 kWh,26.87265894319458 kWh,75.98,16.28,1
IN-KL-ELC-41369910,22-01-2023,IN_KL_TVM,Apartment,3,1883,15,3.08,23.02,74.75,12.59 kWh,20.391494297683803 kWh,61.97,17.26,1
IN-KL-ELC-86829181,19-01-2023,IN_KL_TVM,Apartment,3,977,15,3.88,21.42,67.66,12.77 kWh,12.79 kWh,0.16,17.26,0
IN-KL-ELC-85713070,05-01-2023,IN_KL_TVM,Independent House,2,1481,14,4.1,23.32,67.84,12.03 kWh,11.98 kWh,-0.42,16.89,0
IN-KL-ELC-24569037,25-01-2023,IN_KL_ERN,Villa,4,1470,6,6.43,29.34,75.06,14.38 kWh,18.561080239931947 kWh,29.08,16.28,1
IN-KL-ELC-66004831,30-01-2023,IN_KL_ERN,Apartment,6,1904,15,4.44,30.02,57.71,null,32.01278084114815 kWh,74.08,16.61,1
IN-KL-ELC-21680006,04-01-2023,IN_KL_ERN,Independent House,6,1352,17,2.52,29.34,63.61,17.46 kWh,null,-0.29,16.43,1
IN-KL-ELC-31295740,06-01-2023,IN_KL_ALP,Independent House,4,1454,12,7.78,31.37,59.75,18.0 kWh,25.710285349758777 kWh,42.83,17.83,1
IN-KL-ELC-39118096,03-01-2023,IN_KL_ERN,Apartment,3,1256,8,5.18,33.14,67.43,13.81 kWh,21.261190859604728 kWh,53.96,16.61,1
IN-KL-ELC-55029458,17-01-2023,IN_KL_ALP,Apartment,1,2364,16,7.53,29.57,84.45,15.45 kWh,16.86 kWh,9.13,16.47,0
IN-KL-ELC-92753493,26-01-2023,IN_KL_ERN,Apartment,5,2546,17,7.11,29.84,60.69,19.93 kWh,37.00097639651206 kWh,85.65,16.61,1
IN-KL-ELC-12105733,05-01-2023,IN_KL_TVM,Apartment,5,916,15,7.73,30.55,77.18,19.91 kWh,29.915762460541817 kWh,50.25,17.26,1
IN-KL-ELC-69957771,13-01-2023,IN_KL_ERN,Apartment,2,2148,13,5.81,29.84,53.43,14.27 kWh,25.419987791546383 kWh,78.14,16.61,1
IN-KL-ELC-48039180,05-01-2023,IN_KL_ALP,Independent House,4,574,11,7.77,22.39,50.33,15.3 kWh,15.66 kWh,2.35,17.83,0
IN-KL-ELC-17803969,19-01-2023,IN_KL_TVM,Independent House,1,1784,6,6.09,39.27,57.13,12.49 kWh,12.26 kWh,-1.84,16.89,0
IN-KL-ELC-85713070,19-01-2023,IN_KL_TVM,Independent House,2,1481,14,4.1,25.49,61.8,12.47 kWh,11.83 kWh,-5.13,16.89,1
IN-KL-ELC-84064269,23-01-2023,IN_KL_ERN,Independent House,3,2423,10,2.56,31.6,54.79,12.21 kWh,12.17 kWh,-0.33,16.43,0
IN-KL-ELC-59571121,04-01-2023,IN_KL_ALP,Independent House,4,2160,19,7.58,32.42,80.87,20.66 kWh,21.32 kWh,3.19,17.83,0
IN-KL-ELC-91823655,01-01-2023,IN_KL_TVM,Apartment,5,1876,20,7.29,33.61,73.5,22.31 kWh,null,79.11,17.26,1
IN-KL-ELC-96914194,25-01-2023,IN_KL_ERN,Apartment,4,1982,14,7.53,25.44,64.38,16.91 kWh,23.476162879476203 kWh,38.83,16.61,1
IN-KL-ELC-66004831,05-01-2023,IN_KL_ERN,Apartment,6,1904,15,4.44,23.67,59.49,16.64 kWh,15.51 kWh,-6.79,16.61,0
IN-KL-ELC-68343808,09-01-2023,IN_KL_ERN,Apartment,2,2135,8,5.8,33.65,45.18,13.24 kWh,13.92 kWh,5.14,16.61,0
IN-KL-ELC-65980523,20-01-2023,IN_KL_TVM,Apartment,2,1885,7,5.79,27.82,69.27,11.79 kWh,11.13 kWh,-5.6,17.26,1
IN-KL-ELC-91823655,05-01-2023,IN_KL_TVM,Apartment,5,1876,20,7.29,23.7,73.5,19.17 kWh,17.75 kWh,-7.41,17.26,0
IN-KL-ELC-54399325,04-01-2023,IN_KL_ERN,Independent House,3,906,7,7.79,34.22,46.9,15.73 kWh,15.11 kWh,-3.94,16.43,0
IN-KL-ELC-12098625,25-01-2023,IN_KL_ALP,Apartment,1,1383,15,4.01,34.32,82.03,13.37 kWh,13.82 kWh,3.37,16.47,0
IN-KL-ELC-98421014,16-01-2023,IN_KL_TVM,Independent House,5,2082,8,5.51,26.95,76.81,14.92 kWh,19.96758611645936 kWh,33.83,16.89,1
IN-KL-ELC-48120838,20-01-2023,IN_KL_ALP,Independent House,3,2244,12,4.62,27.99,73.44,13.74 kWh,23.726800872677256 kWh,72.68,17.83,1
IN-KL-ELC-38754500,26-01-2023,IN_KL_ALP,Apartment,2,2100,11,7.15,23.1,77.95,13.1 kWh,22.35855579676398 kWh,70.68,16.47,1
IN-KL-ELC-36527734,07-01-2023,IN_KL_ALP,Apartment,1,769,16,3.76,22.09,73.31,11.21 kWh,9.99 kWh,-10.88,16.47,1
IN-KL-ELC-56602744,10-01-2023,IN_KL_TVM,Independent House,5,814,13,6.8,30.89,75.46,18.59 kWh,19.13 kWh,2.9,16.89,0
IN-KL-ELC-61826522,01-01-2023,IN_KL_ALP,Independent House,1,1393,21,6.7,25.24,60.85,15.49 kWh,16.42 kWh,6,17.83,0
IN-KL-ELC-50138855,04-01-2023,IN_KL_ALP,Apartment,2,1651,7,6.12,28.97,48.21,12.25 kWh,12.42 kWh,1.39,16.47,0
IN-KL-ELC-30440535,09-01-2023,IN_KL_ERN,Independent House,3,2037,10,5.51,25.63,70.27,13.21 kWh,13.18 kWh,-0.23,16.43,0
IN-KL-ELC-67819755,29-01-2023,IN_KL_ERN,Villa,5,2073,12,4.88,24.32,63.69,15.15 kWh,14.96 kWh,-1.25,16.28,0
IN-KL-ELC-17008917,16-01-2023,IN_KL_ALP,Villa,2,1520,14,3.15,33.14,84.94,null,null,22.59,16.26,1
IN-KL-ELC-96990855,28-01-2023,IN_KL_ALP,Villa,5,1908,19,4.49,30.72,52.34,18.92 kWh,18.2 kWh,-3.81,16.26,0
IN-KL-ELC-73898526,05-01-2023,IN_KL_TVM,Independent House,5,1725,11,7.14,29.73,47.95,17.83 kWh,16.26 kWh,-8.81,16.89,0
IN-KL-ELC-16397499,05-01-2023,IN_KL_ERN,Apartment,2,2166,13,3.8,26.62,74.07,12.15 kWh,20.95706292761517 kWh,72.49,16.61,1
IN-KL-ELC-77063678,13-01-2023,IN_KL_ERN,Independent House,5,1931,14,5.93,28.17,80.53,17.55 kWh,26.020870407144734 kWh,48.27,16.43,1
IN-KL-ELC-21680006,16-01-2023,IN_KL_ERN,Independent House,6,1352,17,2.52,25.79,69.15,16.53 kWh,15.75 kWh,-4.72,16.43,0
